model,accuracy,macro_f1,weighted_f1,classification_time_seconds,text_source
Logistic Regression,0.845,0.8421226859514654,0.8451065671869828,0.00011810000069090165,preprocessed_text
SVM,0.835,0.8319370527870439,0.8351134424893687,0.04859190000206581,preprocessed_text
DummyClassifier,0.475,0.4743560862056019,0.4769317413831945,0.00016360000154236332,preprocessed_text
Transformer (DistilBERT),0.865,0.8584571832979476,0.8627176220806794,4.77889569999752,preprocessed_text
Logistic Regression,0.845,0.8425396825396825,0.8452952380952381,0.00011729999823728576,ner_text
SVM,0.825,0.8217514196226223,0.8251203177917548,0.04062010000052396,ner_text
DummyClassifier,0.475,0.4743560862056019,0.4769317413831945,0.00016560000221943483,ner_text
Transformer (DistilBERT),0.845,0.8388731515891785,0.843271914550794,4.910199299996748,ner_text
Logistic Regression,0.855,0.8523083191158871,0.8550996918845968,0.00015150000035646372,hybrid_text
SVM,0.825,0.8217514196226223,0.8251203177917548,0.05073660000198288,hybrid_text
DummyClassifier,0.475,0.4743560862056019,0.4769317413831945,0.00016340000001946464,hybrid_text
Transformer (DistilBERT),0.87,0.8645833333333334,0.868375,4.941198099997564,hybrid_text
