text_source,model,label,precision,recall,f1-score,support
preprocessed_text,Transformer (DistilBERT),NEGATIVE,0.8106060606060606,0.9385964912280702,0.8699186991869918,114.0
preprocessed_text,Transformer (DistilBERT),POSITIVE,0.8970588235294118,0.7093023255813954,0.7922077922077922,86.0
preprocessed_text,Transformer (DistilBERT),accuracy,0.84,0.84,0.84,0.84
preprocessed_text,Transformer (DistilBERT),macro avg,0.8538324420677361,0.8239494084047327,0.8310632456973921,200.0
preprocessed_text,Transformer (DistilBERT),weighted avg,0.8477807486631016,0.84,0.836503009185936,200.0
augmented_text,Transformer (DistilBERT),NEGATIVE,0.84375,0.9473684210526315,0.8925619834710744,114.0
augmented_text,Transformer (DistilBERT),POSITIVE,0.9166666666666666,0.7674418604651163,0.8354430379746836,86.0
augmented_text,Transformer (DistilBERT),accuracy,0.87,0.87,0.87,0.87
augmented_text,Transformer (DistilBERT),macro avg,0.8802083333333333,0.8574051407588739,0.864002510722879,200.0
augmented_text,Transformer (DistilBERT),weighted avg,0.8751041666666666,0.87,0.8680008369076263,200.0
