movie_id,movie_title,n_reviews
tt4154796,Avengers: Endgame,9667
tt4154664,Captain Marvel,7421
tt10872600,Spider-Man: No Way Home,6214
tt4154756,Avengers: Infinity War,4697
tt10648342,Thor: Love and Thunder,4359
tt9419884,Doctor Strange in the Multiverse of Madness,4050
tt9032400,Eternals,3823
tt1825683,Black Panther,3546
tt3480822,Black Widow,3131
tt9376612,Shang-Chi and the Legend of the Ten Rings,2574
tt6263850,Deadpool & Wolverine,2323
tt6320628,Spider-Man: Far From Home,2288
tt0848228,The Avengers,2223
tt10676052,The Fantastic Four: First Steps,2113
tt3501632,Thor: Ragnarok,1902
tt0371746,Iron Man,1733
tt6791350,Guardians of the Galaxy Vol. 3,1685
tt2015381,Guardians of the Galaxy,1680
tt3498820,Captain America: Civil War,1658
tt9114286,Black Panther: Wakanda Forever,1602
tt1300854,Iron Man 3,1576
tt2250912,Spider-Man: Homecoming,1540
tt20969586,Thunderbolts*,1534
tt2395427,Avengers: Age of Ultron,1524
tt14513804,Captain America: Brave New World,1512
tt10954600,Ant-Man and the Wasp: Quantumania,1457
tt1211837,Doctor Strange,1263
tt3896198,Guardians of the Galaxy Vol. 2,1255
tt1843866,Captain America: The Winter Soldier,1247
tt0458339,Captain America: The First Avenger,1206
tt0800369,Thor,1196
tt1228705,Iron Man 2,1139
tt5095030,Ant-Man and the Wasp,1112
tt10676048,The Marvels,1112
tt0800080,The Incredible Hulk,1087
tt1981115,Thor: The Dark World,958
tt0478970,Ant-Man,903
