review_id,movie_id,ground_truth
rw3391899,tt0478970,NEGATIVE
rw4836840,tt0478970,NEGATIVE
rw3278832,tt0478970,NEGATIVE
rw4581027,tt5095030,NEGATIVE
rw4372367,tt5095030,NEGATIVE
rw4240903,tt5095030,NEGATIVE
rw9086849,tt10954600,NEGATIVE
rw9002962,tt10954600,NEGATIVE
rw9061238,tt10954600,NEGATIVE
rw3227781,tt2395427,NEGATIVE
rw3318565,tt2395427,NEGATIVE
rw3229583,tt2395427,NEGATIVE
rw4917908,tt4154796,NEGATIVE
rw4810888,tt4154796,NEGATIVE
rw7246864,tt4154796,NEGATIVE
rw4297850,tt4154756,NEGATIVE
rw4532852,tt4154756,NEGATIVE
rw6110388,tt4154756,NEGATIVE
rw4561120,tt1825683,NEGATIVE
rw4900567,tt1825683,NEGATIVE
rw4063719,tt1825683,NEGATIVE
rw8670251,tt9114286,NEGATIVE
rw8846852,tt9114286,NEGATIVE
rw8843029,tt9114286,NEGATIVE
rw7544628,tt3480822,NEGATIVE
rw7108413,tt3480822,NEGATIVE
rw7224603,tt3480822,NEGATIVE
rw10460743,tt14513804,NEGATIVE
rw10325859,tt14513804,NEGATIVE
rw10565576,tt14513804,NEGATIVE
rw5061070,tt3498820,NEGATIVE
rw3610592,tt3498820,NEGATIVE
rw3536832,tt3498820,NEGATIVE
rw4029856,tt0458339,NEGATIVE
rw2506316,tt0458339,NEGATIVE
rw2597677,tt0458339,NEGATIVE
rw3235633,tt1843866,NEGATIVE
rw3009936,tt1843866,NEGATIVE
rw4799964,tt1843866,NEGATIVE
rw4789579,tt4154664,NEGATIVE
rw4709237,tt4154664,NEGATIVE
rw4800339,tt4154664,NEGATIVE
rw9922431,tt6263850,NEGATIVE
rw10053084,tt6263850,NEGATIVE
rw9938071,tt6263850,NEGATIVE
rw4402964,tt1211837,NEGATIVE
rw7186349,tt1211837,NEGATIVE
rw8082722,tt1211837,NEGATIVE
rw8125318,tt9419884,NEGATIVE
rw8394244,tt9419884,NEGATIVE
rw8122773,tt9419884,NEGATIVE
rw7751397,tt9032400,NEGATIVE
rw7533579,tt9032400,NEGATIVE
rw7751287,tt9032400,NEGATIVE
rw3221049,tt2015381,NEGATIVE
rw3079324,tt2015381,NEGATIVE
rw3139132,tt2015381,NEGATIVE
rw3702806,tt3896198,NEGATIVE
rw6371296,tt3896198,NEGATIVE
rw3700791,tt3896198,NEGATIVE
rw9033225,tt6791350,NEGATIVE
rw9037256,tt6791350,NEGATIVE
rw9065754,tt6791350,NEGATIVE
rw2244388,tt0371746,NEGATIVE
rw1904372,tt0371746,NEGATIVE
rw5592042,tt0371746,NEGATIVE
rw3579819,tt1228705,NEGATIVE
rw2367890,tt1228705,NEGATIVE
rw6095789,tt1228705,NEGATIVE
rw4831010,tt1300854,NEGATIVE
rw2788142,tt1300854,NEGATIVE
rw2794093,tt1300854,NEGATIVE
rw7609788,tt9376612,NEGATIVE
rw7303673,tt9376612,NEGATIVE
rw7539010,tt9376612,NEGATIVE
